"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Monodelphis brevicaudata",-67.05,1.85,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-67.067,1.917,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.217,2.5,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-67.3,2.567,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-66.32,2.62,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.233,2.8,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.833,3.15,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.55,3.167,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.55,3.18,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.967,3.217,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.667,3.417,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-62.75,4.333,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-60.733,5.1,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-57.533,5.617,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-67.607,5.633,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-62.533,5.917,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.45,5.933,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-59.9,5.95,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.45,6,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.342,6.233,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-58.683,6.383,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-58.617,6.4,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.633,6.733,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-58.167,6.8,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.833,6.8,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-58.55,6.933,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-58.517,6.983,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.033,6.983,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-65.167,7.233,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-63,7.3,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-66.167,7.617,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-62.833,7.65,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-63.55,8.133,"Brown 2004",,"Brown, B. E. (2004). Atlas of New World marsupials (pp. 1–320). Field Museum of Natural History,. https://doi.org/10.5962/bhl.title.3410",
"Monodelphis brevicaudata",-61.35,6.17,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-62.25,7,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-60.491,7.371,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-59.38,7.52,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-62.15,-1.05,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-62.12,-1.01,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-62.42,-2.62,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
"Monodelphis brevicaudata",-63.02,7.92,"Pavan et al. 2014",,"Pavan, S. E., Jansa, S. A., & Voss, R. S. (2014). Molecular phylogeny of short-tailed opossums (Didelphidae: Monodelphis ): Taxonomic implications and tests of evolutionary hypotheses. Molecular Phylogenetics and Evolution, 79, 199–214. https://doi.org/10.1016/j.ympev.2014.05.029",
